game_id,play_id,season,week,offense_team,defense_team,down,ydstogo,yardline_100,qtr,time_remaining_sec,score_diff,play_type,decision,result_success
2016_W11_TB_DET,1,2016,3,LV,LAC,4,16,48,3,904,-2,run,go,0
2022_W16_GB_ARI,2,2022,13,NYJ,WSH,4,14,40,4,507,30,run,go,0
2021_W04_PHI_NO,3,2021,7,WSH,KC,4,3,27,1,3394,-15,field_goal,kick,0
2016_W14_CHI_CAR,4,2016,10,CAR,SEA,4,16,71,1,3243,-20,pass,go,1
2024_W14_ATL_SEA,5,2024,11,IND,JAX,4,8,24,2,2055,-3,field_goal,kick,1
2017_W02_BUF_IND,6,2017,5,HOU,GB,4,12,96,1,2770,7,run,go,1
2018_W11_TEN_CHI,7,2018,12,CLE,SF,4,2,20,1,3427,30,punt,kick,1
2017_W07_ATL_TB,8,2017,16,SF,ATL,4,6,86,4,898,3,run,go,1
2019_W07_DAL_NYJ,9,2019,7,ARI,NYG,4,19,85,3,1291,4,pass,go,0
2017_W12_GB_TB,10,2017,16,LV,NE,4,18,98,2,2047,19,run,go,0
2019_W13_NYJ_CAR,11,2019,17,NYG,JAX,4,2,89,2,2691,-12,punt,kick,1
2023_W10_JAX_TB,12,2023,15,NYJ,DET,4,11,86,4,342,-23,run,go,0
2020_W04_TB_ATL,13,2020,8,DAL,LAR,4,4,59,3,1643,24,pass,go,0
2024_W16_TB_BAL,14,2024,9,HOU,TEN,4,11,57,1,3155,-17,run,go,0
2020_W05_TB_WSH,15,2020,5,SEA,CLE,4,12,65,1,2896,-23,punt,kick,1
2018_W02_DEN_DET,16,2018,11,BUF,DET,4,1,12,2,1895,0,punt,kick,1
2023_W03_PIT_ARI,17,2023,11,DET,SEA,4,17,45,3,1750,-20,punt,kick,0
2023_W12_ARI_PHI,18,2023,18,NYG,NE,4,18,67,2,2357,2,run,go,0
2023_W06_IND_ATL,19,2023,9,ARI,TEN,4,17,55,1,3260,6,pass,go,1
2024_W01_KC_DAL,20,2024,11,TB,PIT,4,17,92,1,3020,-2,pass,go,1
2016_W18_LAC_LV,21,2016,13,SF,NO,4,6,27,1,3325,-9,pass,go,0
2020_W18_TEN_IND,22,2020,2,LV,TB,4,8,63,1,2984,23,punt,kick,1
2018_W06_DAL_NO,23,2018,1,NO,IND,4,3,6,4,854,-30,pass,go,0
2018_W13_LV_PIT,24,2018,16,HOU,LAR,4,20,50,4,254,23,punt,kick,1
2018_W13_WSH_PHI,25,2018,5,PHI,CHI,4,18,70,3,1448,-18,punt,kick,1
2023_W08_WSH_DEN,26,2023,9,GB,NYJ,4,17,11,4,635,-16,field_goal,kick,1
2023_W15_CHI_TEN,27,2023,4,IND,CIN,4,5,83,3,1005,18,punt,kick,1
2017_W18_MIN_NE,28,2017,18,JAX,GB,4,13,64,1,2907,-14,pass,go,1
2019_W06_CAR_SEA,29,2019,14,GB,KC,4,20,86,2,1988,7,run,go,0
2022_W01_JAX_SEA,30,2022,14,TB,WSH,4,2,31,2,2281,16,pass,go,1
2017_W11_CLE_PHI,31,2017,18,NYG,KC,4,6,26,3,1077,-5,field_goal,kick,0
2021_W04_LAC_SEA,32,2021,15,DAL,ATL,4,7,92,2,2505,21,punt,kick,1
2019_W05_SEA_NO,33,2019,12,LV,TB,4,8,43,1,3409,26,pass,go,1
2024_W01_GB_ATL,34,2024,4,PHI,BAL,4,8,72,3,1207,26,punt,kick,1
2022_W15_GB_LAC,35,2022,11,DEN,PHI,4,5,1,1,2967,16,punt,kick,1
2018_W04_IND_LAC,36,2018,12,NE,BUF,4,8,26,3,1798,-28,pass,go,1
2023_W13_CIN_HOU,37,2023,1,ARI,SF,4,11,7,2,1922,-14,punt,kick,1
2023_W17_IND_HOU,38,2023,10,SEA,NYG,4,10,76,4,541,-27,pass,go,0
2017_W17_TEN_ATL,39,2017,13,LAC,TB,4,17,23,4,634,-8,punt,kick,1
2020_W18_CAR_TEN,40,2020,8,LV,NYG,4,16,67,4,453,7,punt,kick,1
2023_W17_LAR_NO,41,2023,15,SF,MIA,4,10,94,1,3491,25,run,go,1
2018_W08_NYG_MIN,42,2018,13,TEN,DAL,4,16,7,3,1665,12,field_goal,kick,1
2018_W04_NYG_SEA,43,2018,6,CIN,LV,4,12,88,3,1678,-28,punt,kick,1
2017_W15_PIT_JAX,44,2017,16,JAX,TEN,4,20,8,4,666,24,pass,go,0
2016_W06_ATL_DAL,45,2016,17,ARI,DEN,4,12,67,1,2736,26,punt,kick,1
2020_W05_ARI_NO,46,2020,16,WSH,GB,4,18,22,2,2097,-12,punt,kick,1
2016_W12_BAL_NO,47,2016,12,BUF,LAC,4,6,45,1,2775,1,pass,go,0
2021_W05_DAL_NE,48,2021,12,BUF,LAC,4,5,18,1,3462,-18,field_goal,kick,1
2019_W03_HOU_SF,49,2019,14,MIN,TB,4,16,54,1,2831,-23,run,go,0
2017_W03_LV_CAR,50,2017,18,BUF,NO,4,18,98,3,1557,19,punt,kick,1
2019_W14_DET_GB,51,2019,13,LV,DET,4,16,8,1,2792,-9,punt,kick,1
2016_W09_ATL_DAL,52,2016,9,BUF,CLE,4,12,69,3,1525,15,punt,kick,1
2017_W06_SEA_BUF,53,2017,10,ARI,MIA,4,5,15,4,807,19,run,go,0
2020_W07_NO_LV,54,2020,8,JAX,TB,4,9,86,1,3026,20,pass,go,1
2016_W14_BAL_IND,55,2016,10,TB,CAR,4,10,34,1,3098,21,pass,go,1
2022_W18_TEN_SEA,56,2022,15,ARI,NYG,4,18,29,4,181,-25,pass,go,0
2018_W17_CIN_CLE,57,2018,2,MIN,DEN,4,15,24,2,1991,3,run,go,0
2024_W16_ARI_CAR,58,2024,16,KC,NYJ,4,3,60,2,2581,11,pass,go,0
2017_W10_LAC_GB,59,2017,3,JAX,CIN,4,1,34,4,25,0,pass,go,1
2021_W05_NYJ_HOU,60,2021,18,SEA,LAR,4,12,80,1,3111,20,punt,kick,1
2020_W05_PIT_WSH,61,2020,7,LAR,DET,4,8,14,1,2839,3,field_goal,kick,1
2024_W06_NO_ATL,62,2024,10,DEN,ATL,4,12,83,3,1014,-3,pass,go,0
2021_W09_HOU_BUF,63,2021,8,CHI,GB,4,19,14,3,1681,19,punt,kick,1
2023_W07_LAR_NYG,64,2023,8,NYJ,IND,4,19,42,4,690,3,punt,kick,1
2020_W14_BAL_JAX,65,2020,4,BAL,LAR,4,18,88,1,3128,-21,punt,kick,1
2017_W02_CHI_DET,66,2017,1,DET,DEN,4,1,7,1,3307,-15,pass,go,0
2017_W18_MIA_PIT,67,2017,10,CHI,NYG,4,15,82,2,2272,1,pass,go,0
2023_W03_MIN_ARI,68,2023,5,MIN,PHI,4,8,89,3,1061,7,pass,go,0
2017_W04_KC_BAL,69,2017,6,DAL,NYJ,4,11,57,3,1368,-25,run,go,1
2022_W13_MIA_TB,70,2022,5,TEN,BAL,4,15,50,1,2802,30,punt,kick,1
2020_W11_JAX_TB,71,2020,14,ATL,HOU,4,15,68,3,1775,7,pass,go,0
2018_W06_TB_PHI,72,2018,9,HOU,LAC,4,16,82,4,476,20,punt,kick,1
2019_W08_DEN_TEN,73,2019,16,LAR,BAL,4,20,93,4,766,-7,run,go,0
2023_W03_DAL_CAR,74,2023,9,CLE,DAL,4,14,94,2,2397,19,punt,kick,1
2020_W16_HOU_KC,75,2020,16,HOU,DEN,4,5,17,2,2693,16,pass,go,1
2023_W14_GB_JAX,76,2023,13,IND,NE,4,12,12,3,1667,28,pass,go,1
2024_W10_PIT_HOU,77,2024,11,IND,BUF,4,11,70,4,426,1,punt,kick,1
2018_W06_LAR_CIN,78,2018,7,SF,HOU,4,13,24,1,3403,-17,pass,go,1
2020_W06_NYG_LV,79,2020,5,ARI,TB,4,14,68,1,3219,-7,pass,go,1
2020_W05_DAL_CIN,80,2020,4,KC,BUF,4,7,84,2,2685,29,punt,kick,1
2020_W07_CHI_GB,81,2020,13,SEA,NE,4,14,99,2,1832,4,punt,kick,1
2016_W08_LAR_ATL,82,2016,8,WSH,LV,4,16,58,4,676,7,pass,go,1
2019_W13_ATL_LAR,83,2019,2,MIA,NYJ,4,2,76,2,2607,22,run,go,1
2021_W08_NYJ_DAL,84,2021,8,CLE,DAL,4,7,89,1,2983,-17,run,go,0
2024_W01_MIA_LV,85,2024,9,DET,PHI,4,1,1,2,2035,-19,pass,go,1
2018_W09_LAC_CIN,86,2018,8,JAX,IND,4,8,58,2,2309,-15,pass,go,1
2021_W04_BAL_NE,87,2021,2,PIT,HOU,4,13,8,4,15,14,punt,kick,1
2022_W03_LAR_SEA,88,2022,4,CLE,CHI,4,6,85,1,3138,-14,pass,go,0
2024_W10_LAC_JAX,89,2024,17,LAR,TEN,4,3,64,3,1023,10,punt,kick,1
2017_W11_NYG_HOU,90,2017,1,MIN,LV,4,6,28,2,2309,3,punt,kick,1
2022_W12_ARI_KC,91,2022,8,TEN,IND,4,10,33,3,1399,11,punt,kick,1
2018_W07_LV_MIN,92,2018,2,NE,SEA,4,13,14,4,249,21,pass,go,0
2019_W01_WSH_MIN,93,2019,8,NO,TB,4,10,61,1,3377,-24,run,go,0
2016_W11_ARI_TEN,94,2016,9,LV,JAX,4,13,88,4,324,5,punt,kick,1
2022_W11_HOU_TEN,95,2022,10,NO,BUF,4,16,13,1,3224,-18,punt,kick,1
2016_W07_NYJ_PHI,96,2016,10,TB,GB,4,11,20,4,547,-6,field_goal,kick,1
2019_W07_KC_NO,97,2019,3,DAL,NO,4,18,26,4,80,2,field_goal,kick,1
2020_W01_CIN_LV,98,2020,15,ARI,LV,4,11,24,1,3047,7,punt,kick,1
2022_W09_NYG_BUF,99,2022,13,KC,ARI,4,1,93,2,2271,-2,pass,go,1
